2024-03-29T13:19:14.083 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:15.086 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:16.090 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:17.093 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:18.098 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:19.100 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:20.102 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:21.108 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:22.113 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:23.155 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:24.157 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:25.162 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:26.164 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:27.166 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:28.170 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:29.175 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:30.199 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:31.217 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:32.218 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:33.220 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:34.247 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:35.252 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:36.256 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:37.268 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:38.271 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:39.274 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:40.278 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:41.281 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
