2024-03-29T12:31:21.030 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:21.532 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:22.186 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:22.608 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:23.212 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:23.623 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:24.232 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:24.654 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:25.669 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:25.735 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:26.686 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:26.752 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:27.714 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:27.785 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.16620531669892635
2024-03-29T12:31:28.407 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 3.780500727145519
2024-03-29T12:31:28.407 | DEBUG | [ejemplo_4_monitoreo.py] | [36] | THRESHOLD_INICIO superado 3.780500727145519
2024-03-29T12:31:28.561 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.25286028948975314
2024-03-29T12:31:28.562 | DEBUG | [ejemplo_4_monitoreo.py] | [43] | RESET ESTADO_INICIO 0.25286028948975314
2024-03-29T12:31:29.257 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.25286028948975314
2024-03-29T12:31:29.673 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.25286028948975314
2024-03-29T12:31:30.684 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.25286028948975314
2024-03-29T12:31:30.757 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.25286028948975314
2024-03-29T12:31:31.093 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.25286028948975314
2024-03-29T12:31:31.718 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.25286028948975314
2024-03-29T12:31:32.730 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.25286028948975314
2024-03-29T12:31:32.798 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.25286028948975314
2024-03-29T12:31:33.119 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.25286028948975314
2024-03-29T12:31:33.574 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.25286028948975314
2024-03-29T12:31:34.260 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.25286028948975314
2024-03-29T12:31:34.673 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.25286028948975314
2024-03-29T12:31:35.277 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.25286028948975314
2024-03-29T12:31:35.889 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.25286028948975314
2024-03-29T12:31:36.573 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.25286028948975314
2024-03-29T12:31:36.620 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.25286028948975314
2024-03-29T12:31:37.222 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.47637409587879276
2024-03-29T12:31:37.638 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.17243540660463808
2024-03-29T12:31:38.267 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0742088290657481
2024-03-29T12:31:38.677 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 1.7074107975259238
2024-03-29T12:31:38.678 | DEBUG | [ejemplo_4_monitoreo.py] | [36] | THRESHOLD_INICIO superado 1.7074107975259238
2024-03-29T12:31:39.700 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.41420579389312984
2024-03-29T12:31:39.700 | DEBUG | [ejemplo_4_monitoreo.py] | [43] | RESET ESTADO_INICIO 0.41420579389312984
2024-03-29T12:31:39.765 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.2318235802217785
2024-03-29T12:31:40.718 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.6737767782209296
2024-03-29T12:31:40.783 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.1103147625941947
2024-03-29T12:31:41.747 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.07674035297070958
2024-03-29T12:31:41.807 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.05731043294512084
2024-03-29T12:31:42.771 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.13873714258845027
2024-03-29T12:31:42.832 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.32951954756254054
2024-03-29T12:31:43.126 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.3216035111417703
2024-03-29T12:31:43.797 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.9722029928186497
2024-03-29T12:31:44.693 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.23914229788979746
2024-03-29T12:31:44.732 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.07977732542591198
2024-03-29T12:31:45.319 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.07888895238821014
2024-03-29T12:31:45.750 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.08888264668966528
2024-03-29T12:31:46.757 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.22297361066065946
2024-03-29T12:31:46.825 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.13201158461595952
